ordinal,local_exact,counter,event,no_placement_expected,f1_blank_mean,f1_blank_noise,f1_active_top_line,f1_top_line,f1_top_valid,f1_top_status,f1_bottom_line,f1_bottom_valid,f1_bottom_censored,f1_visible_height,f1_height_valid,f1_line21_lines,f1_line21_bytes,f1_line21_unique_line,f1_line21_implied_top,f1_gap_line,f1_gap_valid,f1_gap_implied_top,f1_body_shift,f1_body_mad,f1_body_second_mad,f1_body_ratio,f1_body_unique,f1_static_fraction,f1_band_shifts,f1_band_mads,f1_repeated,f2_blank_mean,f2_blank_noise,f2_active_top_line,f2_top_line,f2_top_valid,f2_top_status,f2_bottom_line,f2_bottom_valid,f2_bottom_censored,f2_visible_height,f2_height_valid,f2_line21_lines,f2_line21_bytes,f2_line21_unique_line,f2_line21_implied_top,f2_gap_line,f2_gap_valid,f2_gap_implied_top,f2_body_shift,f2_body_mad,f2_body_second_mad,f2_body_ratio,f2_body_unique,f2_static_fraction,f2_band_shifts,f2_band_mads,f2_repeated,comb_crop_f1_line,comb_crop_f2_line,comb_best_shift,comb_best_energy,comb_second_energy,comb_ratio,comb_static_fraction,comb_valid
2540,0,7055,Program,0,1.0,0.25,23,24,1,measured,262,0,1,239,0,21,8080,-1,-1,23,1,24,-128,nan,nan,nan,0,0.0,-128 -128 -128,nan nan nan,0,1.0,0.25,286,286,1,measured,525,0,1,240,0,284,8080,-1,-1,-1,0,-1,-128,nan,nan,nan,0,0.0,-128 -128 -128,nan nan nan,0,23,286,-128,nan,nan,nan,0.0,0
2541,1,7056,Program,0,1.0,0.25,23,24,1,measured,262,0,1,239,0,21,8080,-1,-1,23,1,24,0,10.611015319824219,14.568946838378906,0.7283309794138085,1,0.68078125,0 0 0,8.921 11.716 11.516,0,1.0,0.25,286,286,1,measured,525,0,1,240,0,284,8080,-1,-1,-1,0,-1,0,4.950517654418945,11.429815292358398,0.43312315446853283,1,0.695390625,0 0 0,5.053 4.913 5.517,0,23,286,-1,5.723646640777588,7.974924087524414,0.717705470040948,0.3434623430962343,1
2542,2,7057,Program,0,1.0,0.25,23,24,1,measured,262,0,1,239,0,21,8080,-1,-1,23,1,24,0,5.100644588470459,11.718976020812988,0.4352466102338358,1,0.7296875,0 0 0,5.201 5.036 5.094,0,1.0,0.25,286,286,1,measured,525,0,1,240,0,284,8080,-1,-1,-1,0,-1,0,4.979355335235596,11.512028694152832,0.43253500034834874,1,0.701484375,0 0 0,5.013 5.008 5.490,0,23,286,-1,5.50110387802124,8.559772491455078,0.6426694031310762,0.39984309623430964,1
2543,3,7058,Program,0,1.0,0.25,23,24,1,measured,262,0,1,239,0,21,8080,-1,-1,23,1,24,0,11.16788101196289,15.135956764221191,0.7378377981603282,1,0.67296875,0 0 0,9.479 12.884 12.946,0,1.0,0.25,286,286,1,measured,525,0,1,240,0,284,8080,-1,-1,-1,0,-1,0,11.0791015625,14.832389831542969,0.7469532346661276,1,0.661640625,0 0 0,9.383 12.670 13.138,0,23,286,-1,5.623640060424805,7.790022373199463,0.7219029408403487,0.38697698744769876,1
2544,4,7059,Program,0,1.0,0.25,23,24,1,measured,262,0,1,239,0,21,8080,-1,-1,23,1,24,0,5.046513557434082,11.491116523742676,0.43916651154020536,1,0.683203125,0 0 0,5.040 5.056 5.291,0,1.0,0.25,286,286,1,measured,525,0,1,240,0,284,8080,-1,-1,-1,0,-1,0,4.969951152801514,11.168828964233398,0.4449840863994858,1,0.6915625,0 0 0,4.984 4.925 5.550,0,23,286,-1,5.402616500854492,8.050050735473633,0.6711282547633066,0.3238493723849372,1
2545,5,7060,Program,0,1.0,0.25,23,24,1,measured,262,0,1,239,0,21,8080,-1,-1,23,1,24,0,4.992002010345459,11.661664962768555,0.42806940743736865,1,0.688125,0 0 0,5.086 4.884 5.186,0,1.0,0.25,286,286,1,measured,525,0,1,240,0,284,8080,-1,-1,-1,0,-1,0,11.11898422241211,15.026110649108887,0.7399775285876464,1,0.67171875,0 0 0,8.759 13.716 14.751,0,23,286,-1,5.868525505065918,8.11142635345459,0.7234887243433531,0.3978556485355649,1
2546,6,7061,Program,0,1.0,0.25,23,24,1,measured,262,0,1,239,0,21,8080,-1,-1,23,1,24,0,11.053740501403809,15.252958297729492,0.7246948615239598,1,0.680078125,0 0 0,8.992 13.513 14.747,0,1.0,0.25,286,286,1,measured,525,0,1,240,0,284,8080,-1,-1,-1,0,-1,0,5.026288986206055,11.707016944885254,0.42933985744353254,1,0.698203125,0 0 0,5.117 4.976 5.462,0,23,286,-1,5.7453789710998535,7.893311977386475,0.7278793727601002,0.37065899581589956,1
2547,7,7062,Program,0,1.0,0.25,23,24,1,measured,262,0,1,239,0,21,8080,-1,-1,23,1,24,0,5.069746017456055,11.975943565368652,0.4233274806100837,1,0.694140625,0 0 0,5.251 4.960 5.208,0,1.0,0.25,286,286,1,measured,525,0,1,240,0,284,8080,-1,-1,-1,0,-1,0,5.027685642242432,11.708903312683105,0.4293899700065363,1,0.68796875,0 0 0,4.993 5.115 5.481,0,23,286,-1,5.91478967666626,8.800803184509277,0.6720738497001238,0.33206066945606694,1
2548,8,7063,Program,0,1.0,0.25,23,24,1,measured,262,0,1,239,0,21,8080,-1,-1,23,1,24,0,8.221816062927246,12.44415283203125,0.6606971301223729,1,0.700546875,0 0 0,7.283 9.458 10.614,0,1.0,0.25,286,286,1,measured,525,0,1,240,0,284,8080,-1,-1,-1,0,-1,0,8.381113052368164,11.997621536254883,0.6985645469013828,1,0.674140625,0 0 0,7.581 9.568 10.559,0,23,286,-1,4.614876747131348,6.006771087646484,0.7682791103230645,0.39006276150627617,1
2549,9,7064,Program,0,1.0,0.25,23,24,1,measured,262,0,1,239,0,21,8080,-1,-1,23,1,24,0,5.088242053985596,11.65574836730957,0.43654357434966534,1,0.69546875,0 0 0,5.226 4.981 5.258,0,1.0,0.25,286,286,1,measured,525,0,1,240,0,284,8080,-1,-1,-1,0,-1,0,4.894443511962891,11.535367965698242,0.42429886298530634,1,0.699609375,0 0 0,4.898 4.916 5.311,0,23,286,-1,5.822646141052246,8.510187149047852,0.6841971908577479,0.33023012552301256,1
